FASTA tag	Generic ID	Species	More name	Specimen ID	Well	18s	16s	CO1	Voucher location (Full Name)	Voucher location (Short Name)	voucher accession number	Physical voucher	Photo voucher	Other Photographs	Video	Col. Date	Latitude	Longitude	Depth (m)	Notes	In phylogeny	seq #
CWD111	CWD111	Physonect 1		Tib595SS3	5E	10/19/03 plug	x										36.23*	122.77		Forskalia? Formosa? D haematogaster also in sampler		37
CWD112	CWD112	Marrus claudanielis		Tib596D2	5F		x		Yale Peabody								36.22*	123.77		holotype		38
CWD113	CWD113	Physonect E		Tib598SS3	5G	x	failed seq 10/7/03		SOC/ MBARI (in lab)								36.36*	122.66				39
CWD114	CWD114	Craseoa lathetica		Tib594D3	5H	10/3/03 band	x		YPM								36.21*	122.53				40
CWD124	CWD124	Bassia bassensis		oceanoBWdive	7B	10/3/03 band										6/15/2001			BW			50
CWD125	CWD125	Floaty siph		260SS8	7C	10/3/03 band																51
CWD126	CWD126	Gilia reticulata		409SS10	7D	x	failed seq 10/7/03- contamination															52
CWD127	CWD127	Lensia hostile		FlyerTrawltp700m	7E	10/3/03 band	failed seq 10/7/03									7/13/2002						53
CWD132	CWD132	Physophora hydrostatica		533DS3GOC57-15May03	8B		x		not known							3/15/03	25.45*	109.83	839	dive 533 d3		58
CWD136	CWD136	Orange Physo		GOC-3/13/03-3of3#22	8F		failed seq 10/7/03									5/13/03	24.32*	109.2	1145	dive 531 d2		62
CWD138	CWD138	Diphyes bojani		GOC#158BW8-24Mar03	8H	9/29/03 band	x		(not known if fixed)							3/24/03	24* 	19	BW	BW 8		64
CWD139	CWD139	Chelophyes contorta		GOC#157BW824III	9A	9/29/03 band	x									3/24/03	24* 	19	BW	BW 8		65
CWD143	CWD143	Lilyopsis		BW#1st.17GOC#255	9E	9/29/03 band										5/23/03	24*  	13.4	BW	BW 1		69
CWD150	CWD150	Enneagonum		HatterasSH8-29-96	10D	9/29/03 band	failed seq 10/7/03									8/29/1996						76
